eco,white_elo,black_elo,result,elo_difference,eco_cat,white_player,black_player
 E10,2713,2658, 1/2-1/2,55,E00 - E59,Nelly Bender,Sheldon Boatman
 A48,2707,2708, 1/2-1/2,-1,A45 - A49,Sherman Dallas,Chas Betts
 C84,2659,2743, 1/2-1/2,-84,C20 - C99,Lorna Metzler,Katy Elliott
 E10,2707,2659, 0-1,48,E00 - E59,Bobby Benefield,Suzanne Turk
 A16,2715,2707, 1/2-1/2,8,A00 - A39,Murray Bagley,Kim Creamer
 C11,2713,2664, 1/2-1/2,49,C00 - C19,Alton Ernst,Emile Hudspeth
 D10,2664,2709, 0-1,-45,D00 - D69,Marybeth Powell,Bud Park
 B90,2655,2717, 1/2-1/2,-62,B20 - B99,Young Duke,Marty Seifert
 A07,2734,2633, 1/2-1/2,101,A00 - A39,Paris Mahoney,India Fort
 E47,2713,2656, 1-0,57,E00 - E59,Gustavo Mack,Delmar Meza
 C67,2784,2803, 1/2-1/2,-19,C20 - C99,Daisy Starnes,Nelda Gonsalves
 A84,2753,2725, 0-1,28,A80 - A99,Alina Gilbertson,Garry Saul
 D10,2864,2616, 1/2-1/2,248,D00 - D69,Arleen Oneill,Jackie Mcafee
 A05,2803,2753, 1/2-1/2,50,A00 - A39,Michael Eller,Vada Stinnett
 A05,2696,2574, 0-1,122,A00 - A39,Tommy Hendrickson,Rosalind Shank
 A40,2753,2574, 1/2-1/2,179,A40 - A44,Blaine Bullard,Stanford Valentin
 C84,2696,2753, 1-0,-57,C20 - C99,Princess Crisp,Clark Wentworth
 A05,2803,2574, 1-0,229,A00 - A39,Andrea Ladd,Thomas Dowdell
 B17,2675,2702, 1/2-1/2,-27,B10 - B19,Kay Barry,Pat Parr
 C67,2734,2776, 0-1,-42,C20 - C99,Nicolas Prescott,Lola Clemons
 B30,2763,2780, 0-1,-17,B20 - B99,Manual Fredericks,Felipe Carvalho
 D10,2761,2763, 1/2-1/2,-2,D00 - D69,Jeana Huynh,Burt Mosier
 B30,2707,2415, 1-0,292,B20 - B99,Goldie Dill,Donn Arthur
 A05,2736,2776, 0-1,-40,A00 - A39,Louis Wasson,Maryann Russell
 D85,2752,2780, 1/2-1/2,-28,D70 - D99,Lesley Skinner,Heidi Porterfield
 B32,2767,2733, 1/2-1/2,34,B20 - B99,Blake Easterling,Jae Mejia
 E15,2501,2689, 0-1,-188,E00 - E59,Doug Verdin,Blanche Janes
 A07,2680,2713, 1/2-1/2,-33,A00 - A39,Camilla Baumann,Lucas Seaman
 B44,2737,2736, 1/2-1/2,1,B20 - B99,Nelson Julian,Bruno Lovett
 E32,2516,2714, 1/2-1/2,-198,E00 - E59,Juan Drayton,Augustus Grooms
 D98,2736,2763, 1-0,-27,D70 - D99,Barb Gonzalez,Tommy Herron
 B53,2714,2488, 1/2-1/2,226,B20 - B99,Theodora Sawyers,Stefanie Phipps
 A41,2752,2734, 1-0,18,A40 - A44,Rose Desimone,Rhea Currie
 B52,2736,2752, 1/2-1/2,-16,B20 - B99,Garfield Leal,Modesto Doll
 B13,2488,2613, 0-1,-125,B10 - B19,Mina Belanger,Nellie Pennell
 D80,2627,2579, 1/2-1/2,48,D70 - D99,Maynard Rash,Leeann Clayton
 A46,2544,2604, 1-0,-60,A45 - A49,Ruth Shackelford,Katrina Burley
 B33,2503,2463, 1/2-1/2,40,B20 - B99,Noble Criswell,Nigel Reedy
 B30,2614,2417, 1/2-1/2,197,B20 - B99,Corrine Howland,Alden Guidry
 D15,2651,2577, 0-1,74,D00 - D69,Henry Wahl,Viviana Greco
 B47,2584,2478, 1/2-1/2,106,B20 - B99,Elden Kauffman,Jerold Salisbury
 C85,2417,2741, 1/2-1/2,-324,C20 - C99,Richie Darnell,Sharla Metzger
 A06,2670,2630, 1/2-1/2,40,A00 - A39,Cherie Payne,Nicholas Hurd
 A05,2770,2741, 1/2-1/2,29,A00 - A39,Harriett Esquivel,Delores Desjardins
 E16,2622,2480, 1-0,142,E00 - E59,Sherwood Drake,Bob Blackburn
 E47,2706,2597, 1-0,109,E00 - E59,Ahmad Garner,Lawanda Epstein
 C78,2595,2480, 1-0,115,C20 - C99,Trevor Durand,Polly Lofton
 B07,2597,2600, 1/2-1/2,-3,B00 - B09,Kellie Fritz,Catherine Sweeney
 D82,2556,2434, 1/2-1/2,122,D70 - D99,Keenan Buckner,Nikita Strickland
 B27,2546,2444, 1/2-1/2,102,B20 - B99,Vilma Zhang,Tricia Burt
 B51,2437,2594, 0-1,-157,B20 - B99,Lulu Winn,Carol Parham
 E12,2487,2592, 0-1,-105,E00 - E59,Michale Langlois,Rico Windsor
 E60,2664,2562, 0-1,102,E60 - E99,Leilani Crisp,Scotty Batista
 D31,2596,2497, 1-0,99,D00 - D69,Pierre Higdon,Willard Crawley
 A22,2664,2546, 1-0,118,A00 - A39,Kirby Riley,Shellie Trevino
 A40,2590,2450, 1-0,140,A40 - A44,Claudette Gann,Salvatore Foster
 B71,2530,2570, 1/2-1/2,-40,B20 - B99,Antoine Murdock,Clarissa Badillo
 B07,2416,2569, 1/2-1/2,-153,B00 - B09,Eleanore Hartley,Jasmine Tiller
 C24,2420,2437, 1/2-1/2,-17,C20 - C99,Brice Vail,Ollie Prescott
 A04,2444,2580, 0-1,-136,A00 - A39,Richelle Graf,Lee Harlow
 A46,2685,2467, 1-0,218,A45 - A49,Charlie Dugan,Caroline Whatley
 D31,2454,2544, 1-0,-90,D00 - D69,Kurtis Mcnamara,Haley Pryor
 B40,2480,2672, 0-1,-192,B20 - B99,Yesenia Burchfield,Tyra Tellez
 D15,2460,2594, 0-1,-134,D00 - D69,Garland Inman,Frederic Colson
 B90,2672,2626, 1/2-1/2,46,B20 - B99,Ella Schreiber,Janell Anthony
 B50,2635,2480, 1-0,155,B20 - B99,Brianna Shaw,Willard Morley
 D10,2517,2672, 1/2-1/2,-155,D00 - D69,Benita Mcclain,Domingo Luce
 C70,2592,2467, 1-0,125,C20 - C99,Cristy Pardo,Winnifred Gunter
 A05,2468,2479, 1/2-1/2,-11,A00 - A39,Lynwood Labelle,Melva Trimble
 D10,2680,2493, 1/2-1/2,187,D00 - D69,Liz Treadway,Lyle Haynes
 B06,2493,2525, 1/2-1/2,-32,B00 - B09,Olin Sewell,Donte Richard
 B41,2428,2580, 1/2-1/2,-152,B20 - B99,Darren Gilbert,Sherwood Cassidy
 B11,2535,2642, 1/2-1/2,-107,B10 - B19,Tena Holden,Darlene Hess
 A16,2642,2626, 1/2-1/2,16,A00 - A39,Rodney Bradford,Roderick Pellegrino
 B90,2626,2428, 1/2-1/2,198,B20 - B99,Carmella Ennis,Desiree Galvan
 B33,2521,2446, 1-0,75,B20 - B99,Alison Battaglia,Judy Jett
 B33,2549,2538, 1-0,11,B20 - B99,Jerry Gunn,Janie Demers
 B91,2494,2485, 1-0,9,B20 - B99,Kylie Duval,Grant Villalobos
 A00,2439,2517, 1/2-1/2,-78,A00 - A39,Kenya Cole,Osvaldo Lassiter
 B22,2500,2480, 1/2-1/2,20,B20 - B99,Wilburn Upchurch,Merle Pogue
 D10,2562,2580, 1/2-1/2,-18,D00 - D69,Bertram Givens,Vince Madigan
 A05,2460,2526, 1-0,-66,A00 - A39,Micheal Connell,Dee Suarez
 C92,2596,2570, 1/2-1/2,26,C20 - C99,Jesus Coons,Candi Hammonds
 D27,2799,2726, 1/2-1/2,73,D00 - D69,Rita Radford,Constance Mclean
 E01,2730,2779, 1/2-1/2,-49,E00 - E59,Mai Pickens,Odessa Windham
 C11,2775,2644, 1/2-1/2,131,C00 - C19,Olive Hendrick,Melba Bass
 A13,2674,2655, 1/2-1/2,19,A00 - A39,Marjory Bayer,John Fallon
 C19,2730,2674, 1-0,56,C00 - C19,Orville Neuman,Ernestine Sowers
 A16,2799,2644, 1-0,155,A00 - A39,Douglas Yamamoto,Casandra Hoag
 D10,2431,2459, 1-0,-28,D00 - D69,Wallace Conklin,Gena Sotelo
 B14,2462,2480, 1-0,-18,B10 - B19,Migdalia Allison,Leonard Koehler
 E00,2459,2460, 1/2-1/2,-1,E00 - E59,Shelia Fitzgerald,Trinidad Ruffin
 A40,2431,2460, 1/2-1/2,-29,A40 - A44,Delphine Derr,Delmer Cope
 A04,2684,2778, 1/2-1/2,-94,A00 - A39,Jorge Somers,Leroy Brannon
 B92,2472,2739, 1/2-1/2,-267,B20 - B99,Jacqueline Kell,Hilton Mckinney
 A07,2599,2770, 0-1,-171,A00 - A39,Stephan Pointer,Johnnie Bui
 D00,2770,2778, 0-1,-8,D00 - D69,Fanny Krieger,Jeniffer Carrion
 E97,2739,2713, 1-0,26,E60 - E99,Pricilla Ngo,Vonda Pierson
 A48,2744,2769, 1/2-1/2,-25,A45 - A49,Dianne Morrison,Angie Cash
 B38,2687,2730, 1-0,-43,B20 - B99,Keenan Mccracken,Keshia Stubblefield
 C53,2730,2744, 0-1,-14,C20 - C99,Rob Cahill,Ulysses Lovell
 C78,2615,2676, 1/2-1/2,-61,C20 - C99,Herschel Roller,Clarissa Muniz
 A11,2485,2620, 1-0,-135,A00 - A39,Stanford Eng,Rosemarie Rosenberg
 C80,2560,2558, 1/2-1/2,2,C20 - C99,Earline Goss,Neil Seely
 D30,2485,2676, 0-1,-191,D00 - D69,Grady Hunter,Juliana Aranda
 B07,2560,2598, 1/2-1/2,-38,B00 - B09,Jackie Craven,Adriana Byars
 B05,2488,2479, 1-0,9,B00 - B09,Sung Leake,Jesse Van
 A46,2575,2382, 1-0,193,A45 - A49,Dorcas Espino,Alisha Broome
 D10,2726,2707, 1-0,19,D00 - D69,Roxie Mccue,Lauretta Hirsch
 B12,2550,2615, 0-1,-65,B10 - B19,Lenard Gossett,Cedrick Batson
 A45,2590,2576, 1/2-1/2,14,A45 - A49,Daniel Mack,Rolf Cottle
 D11,2732,2590, 1-0,142,D00 - D69,Rufus Hanna,Romona Whitlow
 C43,2675,2636, 1/2-1/2,39,C20 - C99,Jolene Bouchard,Ike Galvez
 A05,2665,2709, 1/2-1/2,-44,A00 - A39,Loren Free,Suzette Culp
 D11,2595,2615, 1/2-1/2,-20,D00 - D69,Verla Breedlove,Nell Boettcher
 A40,2590,2550, 0-1,40,A40 - A44,Leonor Smoot,Sybil Wills
 C68,2589,2518, 1/2-1/2,71,C20 - C99,Rebeca Santoro,Jess Rafferty
 A05,2543,2578, 1/2-1/2,-35,A00 - A39,Oliver French,Hai Burns
 B51,2382,2599, 1/2-1/2,-217,B20 - B99,Ignacio Nagy,Elmo Stanton
 D12,2581,2533, 1-0,48,D00 - D69,Margaret Bordelon,Lettie Estrella
 B12,2675,2590, 1/2-1/2,85,B10 - B19,Tillie Caldwell,Adolph Damico
 C88,2601,2723, 1/2-1/2,-122,C20 - C99,Hunter Isom,Julius Tirado
 A05,2628,2515, 1-0,113,A00 - A39,Alfredo Langston,Bobbie Meehan
 A06,2596,2501, 1/2-1/2,95,A00 - A39,Gerardo Paquette,Carlotta Neeley
 A57,2599,2732, 1/2-1/2,-133,A50 - A79,Marcos Baylor,Domenic Carrion
 C07,2677,2596, 1-0,81,C00 - C19,Michaela Levi,Zachariah Norman
 D02,2575,2590, 1/2-1/2,-15,D00 - D69,Virgil Poling,Diane Maldonado
 B11,2525,2501, 1/2-1/2,24,B10 - B19,Adrian Crowder,Daphne Schuler
 A05,2599,2472, 1/2-1/2,127,A00 - A39,Rufus Sizemore,Bryan Logsdon
 A13,2578,2681, 1/2-1/2,-103,A00 - A39,Gena Crutchfield,Levi Felder
 A34,2578,2416, 1/2-1/2,162,A00 - A39,Mindy Luster,Lauri Wilkinson
 E00,2518,2480, 1-0,38,E00 - E59,Aileen Martino,Autumn Thomsen
 B90,2617,2518, 1/2-1/2,99,B20 - B99,Fran Butterfield,Tammi Almond
 B06,2483,2598, 1/2-1/2,-115,B00 - B09,Federico Aldridge,Loren Forrest
 A09,2714,2501, 1/2-1/2,213,A00 - A39,Oleta Sawyers,Catina Whitehurst
 C67,2663,2570, 1-0,93,C20 - C99,Gena Mendez,Alex Leavitt
 B67,2641,2543, 0-1,98,B20 - B99,Lesley Reich,Eula Stinson
 B07,2630,2473, 1-0,157,B00 - B09,Bryce Epps,Christian Maldonado
 E26,2570,2630, 1-0,-60,E00 - E59,Korey Baldridge,Bobbie Snow
 A05,2528,2686, 1-0,-158,A00 - A39,Casandra Warfield,Fernando Champion
 A40,2653,2528, 1-0,125,A40 - A44,Gwendolyn Schofield,Kelvin Zamora
 A06,2528,2653, 0-1,-125,A00 - A39,Gus Wise,Rudolf Crouch
 A47,2543,2646, 1/2-1/2,-103,A45 - A49,Stefan Sheehan,Fidel Ginn
 A06,2714,2653, 1/2-1/2,61,A00 - A39,Booker Burris,Ruth Treat
 E11,2503,2441, 1/2-1/2,62,E00 - E59,Tina Ng,Lina Townsend
 C13,2420,2536, 1/2-1/2,-116,C00 - C19,Nell Klinger,Cruz Pannell
 D14,2431,2486, 1/2-1/2,-55,D00 - D69,Kristal Smalley,Bradly Cain
 C50,2494,2540, 1/2-1/2,-46,C20 - C99,Kristy Gibbs,Dianne Vaught
 B32,2526,2485, 1/2-1/2,41,B20 - B99,Shantel Wylie,Blair Candelaria
 B22,2533,2485, 1/2-1/2,48,B20 - B99,Kathy Brody,Leif Cantu
 A00,2545,2495, 0-1,50,A00 - A39,Vickie Olmstead,Danilo Pickard
 B48,2582,2547, 1-0,35,B20 - B99,Zachery Gatlin,Leila Ruiz
 A17,2596,2448, 1-0,148,A00 - A39,Cyrus Reynolds,Sabina Fox
 A00,2566,2480, 1/2-1/2,86,A00 - A39,Aurelia Fitzsimmons,Ahmad Barnette
 B42,2582,2495, 0-1,87,B20 - B99,Forest Hill,Sebastian Gaines
 A06,2571,2496, 1-0,75,A00 - A39,Delbert Douglas,Marty Wooley
 A11,2566,2571, 0-1,-5,A00 - A39,Maritza Layton,Stacia Tillery
 D10,2531,2462, 1-0,69,D00 - D69,Carlo Dickens,Estela Burleson
 B20,2504,2679, 0-1,-175,B20 - B99,Augustine Stahl,Genaro Keyes
 B33,2470,2608, 1-0,-138,B20 - B99,Thad Bray,Pablo Rome
 A06,2422,2567, 0-1,-145,A00 - A39,Betsy Mcnulty,Kristine Burdick
 A46,2446,2664, 1-0,-218,A45 - A49,Parker Isbell,Morton Grantham
 B48,2575,2487, 1/2-1/2,88,B20 - B99,Stacey Ballou,Porter Healy
 C07,2437,2632, 1/2-1/2,-195,C00 - C19,Chester Fry,Latoya Gifford
 B51,2545,2616, 1/2-1/2,-71,B20 - B99,Audra Buchanan,Dorsey Creighton
 C03,2595,2517, 0-1,78,C00 - C19,Ellie Fitzgerald,Tonia Fournier
 E90,2460,2627, 1-0,-167,E60 - E99,Oliver Switzer,Shari Bernier
 A46,2569,2500, 1-0,69,A45 - A49,Leona Joyner,Napoleon Silver
 B10,2595,2538, 1/2-1/2,57,B10 - B19,Harriett Nakamura,Lorri Dagostino
 B12,2523,2460, 1-0,63,B10 - B19,Marcos Chambliss,Tanya Farrar
 C05,2544,2627, 0-1,-83,C00 - C19,Amparo Peace,Brandie Lerner
 D10,2569,2564, 1/2-1/2,5,D00 - D69,Germaine Harrison,Johnnie Lassiter
 A58,2467,2500, 1/2-1/2,-33,A50 - A79,Trenton Lowry,Suzan Bragg
 C13,2460,2618, 1/2-1/2,-158,C00 - C19,Johnnie Brownlee,Jere Bogan
 B04,2595,2535, 1-0,60,B00 - B09,Alina Cates,Wilfred Sheffield
 A04,2599,2537, 1/2-1/2,62,A00 - A39,Clifford Bromley,Dena Bowles
 E11,2451,2520, 1/2-1/2,-69,E00 - E59,Cassie Amundson,Melba Cornelius
 B96,2739,2778, 1-0,-39,B20 - B99,Katherine Cottrell,Fermin Shockley
 A40,2713,2837, 1/2-1/2,-124,A40 - A44,Cheryl Perez,Terry Guillory
 A48,2696,2732, 1-0,-36,A45 - A49,Burt Herr,Christi Dykes
 D02,2696,2778, 1/2-1/2,-82,D00 - D69,Una Dudley,Augusta Graham
 A13,2449,2674, 0-1,-225,A00 - A39,Anderson Serrano,Leone Loera
 B11,2446,2653, 1/2-1/2,-207,B10 - B19,Stephany Ridley,Ariel Lilley
 C88,2559,2639, 1/2-1/2,-80,C20 - C99,Twyla Hopper,Homer Matlock
 B30,2512,2646, 1/2-1/2,-134,B20 - B99,Booker Berry,Kimberlee Brand
 D15,2569,2698, 1/2-1/2,-129,D00 - D69,Jayne Bard,Jennie Easterling
 C68,2573,2653, 1/2-1/2,-80,C20 - C99,Kenny Sosa,Cecil Jeffries
 B27,2646,2416, 1-0,230,B20 - B99,Blair Pennell,Gale Redmon
 E81,2684,2569, 1/2-1/2,115,E60 - E99,Tiffany Manning,Della Kirkwood
 B07,2446,2599, 1/2-1/2,-153,B00 - B09,Nikita Hoppe,Luisa Ritchie
 C45,2698,2605, 1-0,93,C20 - C99,Carmen Lawrence,Lia Layton
 B28,2435,2615, 1/2-1/2,-180,B20 - B99,Beverley Gruber,Ruben Hyman
 D15,2642,2698, 1/2-1/2,-56,D00 - D69,Richard Pappas,Easter Searcy
 E38,2506,2653, 0-1,-147,E00 - E59,Quinn Blackwood,Dionne Ingraham
 E21,2674,2631, 1/2-1/2,43,E00 - E59,Rodger Mcmillan,Elden Word
 D10,2698,2639, 1/2-1/2,59,D00 - D69,Boyd Diamond,Curtis Nunez
 A16,2642,2646, 1/2-1/2,-4,A00 - A39,Laverne Baughman,Vicky Soto
 A05,2653,2579, 1/2-1/2,74,A00 - A39,Freddy Fredrickson,Gaye Kimble
 A48,2505,2620, 1/2-1/2,-115,A45 - A49,Tuan Tirado,Ivory Pendergrass
 C84,2691,2634, 1/2-1/2,57,C20 - C99,Griselda Flynn,Nita Girard
 A05,2621,2711, 0-1,-90,A00 - A39,Wes Ness,Lindsey Horowitz
 D31,2623,2621, 1/2-1/2,2,D00 - D69,Liz Poland,Denver Whitney
 A05,2562,2634, 1/2-1/2,-72,A00 - A39,Tabatha Flanagan,Shelby Hough
 C03,2726,2623, 0-1,103,C00 - C19,Carmela Rockwell,Trena Crain
 D16,2582,2446, 0-1,136,D00 - D69,Derrick Martins,Ivonne Binder
 B30,2639,2449, 1-0,190,B20 - B99,Patricia Monroe,Alice Novak
 C67,2569,2486, 1-0,83,C20 - C99,Allen Baron,Richie Mcmanus
 D31,2449,2546, 1/2-1/2,-97,D00 - D69,Terri Ibarra,Les Asher
 E40,2554,2564, 0-1,-10,E00 - E59,Felicia Huffman,Lauretta Edge
 E32,2554,2614, 1-0,-60,E00 - E59,Jacquelyn Luckett,Tiffany Wagoner
 A05,2595,2554, 1-0,41,A00 - A39,Selina Mccune,Darwin Gillespie
 A09,2608,2595, 1/2-1/2,13,A00 - A39,Sharron Pinson,Saul Thornton
 A53,2595,2457, 1-0,138,A50 - A79,Adam Henning,Garrett Getz
 B30,2614,2391, 1-0,223,B20 - B99,Amos Toth,Alyson Vickers
 A05,2670,2560, 1-0,110,A00 - A39,Aaron Limon,Lourdes Shivers
 B80,2560,2535, 1/2-1/2,25,B20 - B99,Warren Corrigan,Franklin Groves
 B48,2552,2570, 1-0,-18,B20 - B99,Celina Sperry,Tommy Stidham
 D22,2530,2547, 1/2-1/2,-17,D00 - D69,Flora Tyler,Barrett Sweeney
 A05,2528,2510, 1/2-1/2,18,A00 - A39,Ruthie Wallin,Carmel Adams
 B40,2423,2510, 1/2-1/2,-87,B20 - B99,Maryanne Nix,Rex Ault
 D10,2494,2503, 1-0,-9,D00 - D69,Tisha Kohl,Sheri Mccool
 C69,2503,2599, 1/2-1/2,-96,C20 - C99,Clara Broughton,Juana Rendon
