shops	price_per_item_type_in_galleons	number_of_items_in_inventory	total_revenue_per_item_type_in_galleons
Ollivanders	3.3	18	27000
Ollivanders	3	18	26000
Ollivanders	3	18	26000
Ollivanders	3	18	26000
Ollivanders	3	18	26000
Ollivanders	2.7	15	20000
Ollivanders	2.7	15	20000
Ollivanders	2.7	16	20000
Ollivanders	2.7	16	20000
Ollivanders	2.7	17	22000
Ollivanders	2.4	21	31000
Ollivanders	2.4	21	31000
Ollivanders	2.4	21	31000
Ollivanders	2.4	22	31000
Ollivanders	2.2	21	29000
Ollivanders	2.2	21	27000
Ollivanders	2.2	21	27000
Ollivanders	2.2	21	29000
Ollivanders	1.8	24	30000
Ollivanders	1.8	24	33000
Ollivanders	1.8	26	35000
Ollivanders	1.8	26	35000
Ollivanders	1.8	28	37000
Apothecary	3.6	17	26000
Apothecary	2.8	16	23000
Apothecary	2.8	16	26000
Apothecary	2.8	17	24000
Apothecary	2.8	17	24000
Apothecary	2.8	18	26000
Apothecary	2.5	20	28000
Apothecary	2.5	20	29000
Apothecary	2.5	21	29000
Apothecary	2.5	21	29000
Apothecary	2	19	26000
Apothecary	2	19	26000
Apothecary	2	19	26000
Apothecary	2	19	28000
Apothecary	2	21	29000
Apothecary	2	21	29000
Apothecary	2	21	29000
Apothecary	2	21	29000
Apothecary	2	21	29000
Apothecary	2	21	29000
Apothecary	2	22	29000
Apothecary	2	22	29000
Apothecary	1.9	29	41000
Apothecary	1.9	33	44000
Apothecary	1.9	35	44000
Apothecary	1.8	18	29000
Apothecary	1.8	21	29000
